keys,en,zh_CN,fr,ja,ko,es
CUSTOM_RUN_COULD_NOT_FIND_PERMANENT_RULE,Could not find permanent rule '{0}' to delete.,找不到要删除的永久规则“{0}”。,Règle permanente « {0} » introuvable.,削除する恒久ルール「{0}」が見つかりません。,삭제할 영구 규칙 '{0}'을(를) 찾을 수 없습니다.,No se encontró la regla permanente «{0}» para eliminarla.
CUSTOM_RUN_NO_SAVED_RUNS,No saved Custom Runs.,没有已保存的自定义游戏。,Aucune partie personnalisée enregistrée.,保存済みのカスタムランはありません。,저장된 커스텀 런이 없습니다.,No hay partidas personalizadas guardadas.
CUSTOM_RUN_HOST_HAS_NOT_APPLIED,The host has not applied a Custom Run definition.,房主尚未应用自定义游戏定义。,L'hôte n'a pas appliqué de définition de partie personnalisée.,ホストはカスタムラン定義を適用していません。,호스트가 커스텀 런 정의를 적용하지 않았습니다.,El anfitrión no ha aplicado una definición de partida personalizada.
CUSTOM_RUN_WAITING_FOR_HOST,Waiting for the host's Custom Run setup.,正在等待房主的自定义游戏设置。,En attente de la configuration de l'hôte.,ホストのカスタムラン設定を待っています。,호스트의 커스텀 런 설정을 기다리는 중입니다.,Esperando la configuración del anfitrión.
CUSTOM_RUN_CREATE_OR_SELECT,Create or select a Custom Run.,创建或选择一个自定义游戏。,Créez ou sélectionnez une partie personnalisée.,カスタムランを作成または選択してください。,커스텀 런을 만들거나 선택하세요.,Crea o selecciona una partida personalizada.
CUSTOM_RUN_CREATED_NEW,Created a new Custom Run.,已创建新的自定义游戏。,Nouvelle partie personnalisée créée.,新しいカスタムランを作成しました。,새 커스텀 런을 만들었습니다.,Se creó una nueva partida personalizada.
CUSTOM_RUN_CREATED_VARIABLE,Created variable '{0}'.,已创建变量“{0}”。,Variable « {0} » créée.,変数「{0}」を作成しました。,변수 '{0}'을(를) 만들었습니다.,Se creó la variable «{0}».
CUSTOM_RUN_DEFAULT_VARIABLE_NAME,Variable {0},变量 {0},Variable {0},変数 {0},변수 {0},Variable {0}
CUSTOM_RUN_DEFAULT_RULE_NAME,Rule {0},规则 {0},Règle {0},ルール {0},규칙 {0},Regla {0}
CUSTOM_RUN_COPY_NAME,{0} Copy,{0} 副本,Copie de {0},{0}のコピー,{0} 복사본,Copia de {0}
CUSTOM_RUN_DUPLICATED_VARIABLE,Duplicated variable '{0}'.,已复制变量“{0}”。,Variable « {0} » dupliquée.,変数「{0}」を複製しました。,변수 '{0}'을(를) 복제했습니다.,Se duplicó la variable «{0}».
CUSTOM_RUN_DUPLICATED_RULE,Duplicated rule '{0}'.,已复制规则“{0}”。,Règle « {0} » dupliquée.,ルール「{0}」を複製しました。,규칙 '{0}'을(를) 복제했습니다.,Se duplicó la regla «{0}».
CUSTOM_RUN_CONFIRM_DELETE_VARIABLE,Press delete again to remove variable '{0}'. References will remain as validation errors.,再次按删除以移除变量“{0}”。引用将保留为验证错误。,Appuyez encore sur supprimer pour retirer « {0} ». Les références resteront comme erreurs de validation.,もう一度削除を押すと変数「{0}」を削除します。参照は検証エラーとして残ります。,변수 '{0}'을(를) 제거하려면 삭제를 다시 누르세요. 참조는 검증 오류로 남습니다.,Pulsa eliminar de nuevo para quitar la variable «{0}». Las referencias quedarán como errores de validación.
CUSTOM_RUN_CONFIRM_DELETE_RULE,Press delete again to remove rule '{0}'.,再次按删除以移除规则“{0}”。,Appuyez encore sur supprimer pour retirer la règle « {0} ».,もう一度削除を押すとルール「{0}」を削除します。,규칙 '{0}'을(를) 제거하려면 삭제를 다시 누르세요.,Pulsa eliminar de nuevo para quitar la regla «{0}».
CUSTOM_RUN_DELETED_VARIABLE,Deleted variable '{0}'.,已删除变量“{0}”。,Variable « {0} » supprimée.,変数「{0}」を削除しました。,변수 '{0}'을(를) 삭제했습니다.,Se eliminó la variable «{0}».
CUSTOM_RUN_DELETED_RULE,Deleted rule '{0}'.,已删除规则“{0}”。,Règle « {0} » supprimée.,ルール「{0}」を削除しました。,규칙 '{0}'을(를) 삭제했습니다.,Se eliminó la regla «{0}».
CUSTOM_RUN_MOVED_RULE,Moved rule '{0}'.,已移动规则“{0}”。,Règle « {0} » déplacée.,ルール「{0}」を移動しました。,규칙 '{0}'을(를) 이동했습니다.,Se movió la regla «{0}».
CUSTOM_RUN_RULE_ENABLED,Rule '{0}' enabled.,已启用规则“{0}”。,Règle « {0} » activée.,ルール「{0}」を有効にしました。,규칙 '{0}'을(를) 활성화했습니다.,Regla «{0}» activada.
CUSTOM_RUN_RULE_DISABLED,Rule '{0}' disabled.,已禁用规则“{0}”。,Règle « {0} » désactivée.,ルール「{0}」を無効にしました。,규칙 '{0}'을(를) 비활성화했습니다.,Regla «{0}» desactivada.
CUSTOM_RUN_UNSAVED_CHANGES,Unsaved changes.,有未保存的更改。,Modifications non enregistrées.,未保存の変更があります。,저장되지 않은 변경 사항이 있습니다.,Cambios sin guardar.
CUSTOM_RUN_UNSAVED_RULE_CHANGES,Unsaved rule changes.,规则有未保存的更改。,Modifications de règle non enregistrées.,ルールに未保存の変更があります。,규칙에 저장되지 않은 변경 사항이 있습니다.,Cambios de regla sin guardar.
CUSTOM_RUN_UNSAVED_WARNING_FAILED,Could not open the unsaved-changes warning.,无法打开未保存更改警告。,Impossible d'ouvrir l'avertissement des modifications non enregistrées.,未保存変更の警告を開けませんでした。,저장되지 않은 변경 경고를 열 수 없습니다.,No se pudo abrir el aviso de cambios sin guardar.
CUSTOM_RUN_CONFIRM_DELETE,Confirm Delete,确认删除,Confirmer la suppression,削除を確認,삭제 확인,Confirmar eliminación
CUSTOM_RUN_PRESS_CONFIRM_DELETE,Press Confirm Delete to remove '{0}'.,按“确认删除”以移除“{0}”。,Appuyez sur Confirmer la suppression pour retirer « {0} ».,「削除を確認」を押して「{0}」を削除します。,'{0}'을(를) 제거하려면 삭제 확인을 누르세요.,Pulsa Confirmar eliminación para quitar «{0}».
CUSTOM_RUN_DELETED_NAMED,Deleted '{0}'.,已删除“{0}”。,« {0} » supprimé.,「{0}」を削除しました。,'{0}'을(를) 삭제했습니다.,Se eliminó «{0}».
CUSTOM_RUN_COULD_NOT_FIND_TO_DELETE,Could not find '{0}' to delete.,找不到要删除的“{0}”。,« {0} » introuvable pour la suppression.,削除する「{0}」が見つかりません。,삭제할 '{0}'을(를) 찾을 수 없습니다.,No se encontró «{0}» para eliminarlo.
CUSTOM_RUN_EDITING_NAMED,Editing '{0}'.,正在编辑“{0}”。,Modification de « {0} ».,「{0}」を編集中です。,'{0}' 편집 중.,Editando «{0}».
CUSTOM_RUN_SAVED_NAMED,Saved '{0}'.,已保存“{0}”。,« {0} » enregistré.,「{0}」を保存しました。,'{0}'을(를) 저장했습니다.,Se guardó «{0}».
CUSTOM_RUN_SAVED_AS,Saved as '{0}'.,已另存为“{0}”。,Enregistré sous « {0} ».,「{0}」として保存しました。,'{0}'(으)로 저장했습니다.,Guardado como «{0}».
CUSTOM_RUN_IMPORTED_NAMED,Imported '{0}'.,已导入“{0}”。,« {0} » importé.,「{0}」をインポートしました。,'{0}'을(를) 가져왔습니다.,Se importó «{0}».
CUSTOM_RUN_IMPORTED_WITH_ISSUES,Imported '{0}' with {1} issue(s); it remains editable.,已导入“{0}”，有 {1} 个问题；仍可编辑。,« {0} » importé avec {1} problème(s) ; il reste modifiable.,「{0}」を{1}件の問題付きでインポートしました。引き続き編集できます。,'{0}'을(를) 문제 {1}개와 함께 가져왔습니다. 계속 편집할 수 있습니다.,Se importó «{0}» con {1} problema(s); sigue siendo editable.
CUSTOM_RUN_IMPORTED_VALIDATED,Imported and validated the Custom Run.,已导入并验证自定义游戏。,Partie personnalisée importée et validée.,カスタムランをインポートして検証しました。,커스텀 런을 가져오고 검증했습니다.,Se importó y validó la partida personalizada.
CUSTOM_RUN_IMPORTED_VALIDATION_ISSUES,Imported for editing with {0} validation issue(s).,已导入以编辑，有 {0} 个验证问题。,Importée pour modification avec {0} problème(s) de validation.,{0}件の検証問題付きで編集用にインポートしました。,검증 문제 {0}개와 함께 편집용으로 가져왔습니다.,Importada para editar con {0} problema(s) de validación.
CUSTOM_RUN_COPIED_TO_CLIPBOARD,Copied '{0}' to clipboard.,已将“{0}”复制到剪贴板。,« {0} » copié dans le presse-papiers.,「{0}」をクリップボードにコピーしました。,'{0}'을(를) 클립보드에 복사했습니다.,Se copió «{0}» al portapapeles.
CUSTOM_RUN_COPIED_SHARE_STRING,Copied an L2CR1 share string to the clipboard.,已将 L2CR1 分享字符串复制到剪贴板。,Chaîne de partage L2CR1 copiée dans le presse-papiers.,L2CR1共有文字列をクリップボードにコピーしました。,L2CR1 공유 문자열을 클립보드에 복사했습니다.,Se copió una cadena L2CR1 al portapapeles.
CUSTOM_RUN_VALIDATE,Validate,验证,Valider,検証,검증,Validar
CUSTOM_RUN_VALIDATION_PASSED,Validation passed. Role assignments will be checked on embark.,验证通过。职责分配将在出发时检查。,Validation réussie. Les rôles seront vérifiés au départ.,検証に成功しました。ロール割り当ては出発時に確認されます。,검증을 통과했습니다. 역할 배정은 출발 시 확인됩니다.,Validación superada. Los roles se comprobarán al partir.
CUSTOM_RUN_CANNOT_APPLY,Cannot apply: {0}: {1},无法应用：{0}：{1},Application impossible : {0} : {1},適用できません: {0}: {1},적용할 수 없음: {0}: {1},No se puede aplicar: {0}: {1}
CUSTOM_RUN_APPLIED_MULTIPLAYER,Applied and synchronized this editor definition to lobby clients.,已应用此编辑器定义并同步到大厅客户端。,Définition appliquée et synchronisée avec les clients du lobby.,エディター定義を適用してロビーのクライアントと同期しました。,편집기 정의를 적용하고 로비 클라이언트와 동기화했습니다.,Se aplicó y sincronizó esta definición con los clientes de la sala.
CUSTOM_RUN_APPLIED_SINGLEPLAYER,Applied this editor definition to the singleplayer lobby.,已将此编辑器定义应用到单人大厅。,Définition appliquée au lobby solo.,エディター定義をシングルプレイヤーロビーに適用しました。,편집기 정의를 싱글플레이 로비에 적용했습니다.,Se aplicó esta definición a la sala de un jugador.
CUSTOM_RUN_HOST_ONLY_PLAY,Only the host can play a local Custom Run in this lobby.,只有房主可在此大厅游玩本地自定义游戏。,Seul l'hôte peut jouer une partie personnalisée locale dans ce lobby.,このロビーでローカルのカスタムランを開始できるのはホストだけです。,이 로비에서는 호스트만 로컬 커스텀 런을 플레이할 수 있습니다.,Solo el anfitrión puede jugar una partida personalizada local en esta sala.
CUSTOM_RUN_COMPILE_FAILED,This Custom Run could not be compiled.,无法编译此自定义游戏。,Cette partie personnalisée n'a pas pu être compilée.,このカスタムランをコンパイルできませんでした。,이 커스텀 런을 컴파일할 수 없습니다.,No se pudo compilar esta partida personalizada.
CUSTOM_RUN_DELETE_CONFIRMATION_FAILED,Could not open the delete confirmation.,无法打开删除确认。,Impossible d'ouvrir la confirmation de suppression.,削除確認を開けませんでした。,삭제 확인을 열 수 없습니다.,No se pudo abrir la confirmación de eliminación.
CUSTOM_RUN_DELETE_CONFIRMATION_BUSY,The delete confirmation is unavailable while another popup is open.,另一个弹窗打开时无法使用删除确认。,La confirmation de suppression est indisponible tant qu'une autre fenêtre est ouverte.,別のポップアップが開いている間は削除確認を使用できません。,다른 팝업이 열려 있는 동안에는 삭제 확인을 사용할 수 없습니다.,La confirmación de eliminación no está disponible mientras haya otra ventana abierta.
CUSTOM_RUN_OPEN_SHARED_SCREEN_FAILED,Could not open the shared {0} screen: {1},无法打开共享{0}界面：{1},Impossible d'ouvrir l'écran partagé {0} : {1},共有の{0}画面を開けませんでした: {1},공유 {0} 화면을 열 수 없습니다: {1},No se pudo abrir la pantalla compartida de {0}: {1}
CUSTOM_RUN_OPEN_SHARED_CHOICE_FAILED,Could not open the shared {0} choice: {1},无法打开共享{0}选择：{1},Impossible d'ouvrir le choix partagé {0} : {1},共有の{0}選択を開けませんでした: {1},공유 {0} 선택을 열 수 없습니다: {1},No se pudo abrir la selección compartida de {0}: {1}
CUSTOM_RUN_TOO_FEW_OPTIONS,The {0} choice has only {1} valid options.,{0}选择只有 {1} 个有效选项。,Le choix {0} ne contient que {1} options valides.,{0}の選択肢には有効な候補が{1}件しかありません。,{0} 선택에 유효한 옵션이 {1}개뿐입니다.,La selección de {0} solo tiene {1} opciones válidas.
CUSTOM_RUN_OPEN_CARD_INVENTORY_FAILED,Could not open the Custom Run card inventory: {0},无法打开自定义游戏卡牌栏：{0},Impossible d'ouvrir l'inventaire de cartes : {0},カスタムランのカード欄を開けませんでした: {0},커스텀 런 카드 보관함을 열 수 없습니다: {0},No se pudo abrir el inventario de cartas: {0}
CUSTOM_RUN_OPEN_RELIC_INVENTORY_FAILED,Could not open the Custom Run relic inventory: {0},无法打开自定义游戏遗物栏：{0},Impossible d'ouvrir l'inventaire de reliques : {0},カスタムランのレリック欄を開けませんでした: {0},커스텀 런 유물 보관함을 열 수 없습니다: {0},No se pudo abrir el inventario de reliquias: {0}
CUSTOM_RUN_MORPH_SCREEN_UNAVAILABLE,The initialized Morph Selection screen is not available.,已初始化的变形选择界面不可用。,L'écran de sélection de métamorphose initialisé est indisponible.,初期化済みの変身選択画面を使用できません。,초기화된 변신 선택 화면을 사용할 수 없습니다.,La pantalla de selección de transformación inicializada no está disponible.
CUSTOM_RUN_CATALOG_UNAVAILABLE,No initialized {0} catalog screen is available.,没有可用的已初始化{0}目录界面。,Aucun écran de catalogue {0} initialisé n'est disponible.,初期化済みの{0}カタログ画面がありません。,초기화된 {0} 카탈로그 화면이 없습니다.,No hay una pantalla de catálogo de {0} inicializada disponible.
CUSTOM_RUN_NAMED_SCREEN_UNAVAILABLE,The initialized {0} screen is not available.,已初始化的 {0} 界面不可用。,L'écran {0} initialisé est indisponible.,初期化済みの{0}画面を使用できません。,초기화된 {0} 화면을 사용할 수 없습니다.,La pantalla {0} inicializada no está disponible.
CUSTOM_RUN_SHARED_SCREENS_NOT_READY,The shared Loadout screens are not ready yet.,共享的 Loadout 界面尚未就绪。,Les écrans Loadout partagés ne sont pas encore prêts.,共有Loadout画面はまだ準備できていません。,공유 Loadout 화면이 아직 준비되지 않았습니다.,Las pantallas compartidas de Loadout aún no están listas.
CUSTOM_RUN_ACT_OPTION,{0}: {1},{0}：{1},{0} : {1},{0}: {1},{0}: {1},{0}: {1}
CUSTOM_RUN_DEFINITIONS_STORED,Definitions currently stored here: {0},当前存储的定义：{0},Définitions actuellement stockées ici : {0},現在ここに保存されている定義: {0},현재 저장된 정의: {0},Definiciones almacenadas aquí: {0}
CUSTOM_RUN_PERMANENT_RULES_NOT_POPULATED,Permanent Rules library: not yet populated,永久规则库：尚未填充,Bibliothèque de règles permanentes : pas encore remplie,恒久ルールライブラリ: 未登録,영구 규칙 라이브러리: 아직 비어 있음,Biblioteca de reglas permanentes: aún sin contenido
CUSTOM_RUN_CATEGORY_RUN,Run,游戏,Partie,ラン,런,Partida
CUSTOM_RUN_CATEGORY_COMBAT,Combat,战斗,Combat,戦闘,전투,Combate
CUSTOM_RUN_CATEGORY_CARDS,Cards,卡牌,Cartes,カード,카드,Cartas
CUSTOM_RUN_CATEGORY_PLAYERS,Players,玩家,Joueurs,プレイヤー,플레이어,Jugadores
CUSTOM_RUN_CATEGORY_PLAYER,Player,玩家,Joueur,プレイヤー,플레이어,Jugador
CUSTOM_RUN_CATEGORY_POWERS,Powers,能力,Pouvoirs,パワー,파워,Poderes
CUSTOM_RUN_CATEGORY_POTIONS,Potions,药水,Potions,ポーション,포션,Pociones
CUSTOM_RUN_CATEGORY_RELICS,Relics,遗物,Reliques,レリック,유물,Reliquias
CUSTOM_RUN_CATEGORY_MONSTERS,Monsters,怪物,Monstres,モンスター,몬스터,Monstruos
CUSTOM_RUN_CATEGORY_GENERAL,General,通用,Général,一般,일반,General
CUSTOM_RUN_CATEGORY_VALUES,Values,数值,Valeurs,値,값,Valores
CUSTOM_RUN_CATEGORY_VARIABLES,Variables,变量,Variables,変数,변수,Variables
CUSTOM_RUN_COMPONENT_RUN_START,Run Start,游戏开始,Début de partie,ラン開始,런 시작,Inicio de partida
CUSTOM_RUN_COMPONENT_RUN_END,Run End,游戏结束,Fin de partie,ラン終了,런 종료,Fin de partida
CUSTOM_RUN_COMPONENT_COMBAT_START,Combat Start,战斗开始,Début du combat,戦闘開始,전투 시작,Inicio del combate
CUSTOM_RUN_COMPONENT_COMBAT_END,Combat End,战斗结束,Fin du combat,戦闘終了,전투 종료,Fin del combate
CUSTOM_RUN_COMPONENT_TURN_START,Turn Start,回合开始,Début du tour,ターン開始,턴 시작,Inicio del turno
CUSTOM_RUN_COMPONENT_TURN_END,Turn End,回合结束,Fin du tour,ターン終了,턴 종료,Fin del turno
CUSTOM_RUN_COMPONENT_CARD_PLAYED,Card Played,打出卡牌,Carte jouée,カード使用,카드 사용,Carta jugada
CUSTOM_RUN_COMPONENT_CARD_DRAWN,Card Drawn,抽到卡牌,Carte piochée,カードを引いた,카드 뽑음,Carta robada
CUSTOM_RUN_COMPONENT_CARD_DISCARDED,Card Discarded,弃置卡牌,Carte défaussée,カードを捨てた,카드 버림,Carta descartada
CUSTOM_RUN_COMPONENT_CARD_EXHAUSTED,Card Exhausted,消耗卡牌,Carte épuisée,カードを廃棄,카드 소멸,Carta agotada
CUSTOM_RUN_COMPONENT_CARD_GENERATED,Card Generated,生成卡牌,Carte générée,カード生成,카드 생성,Carta generada
CUSTOM_RUN_COMPONENT_CARD_OBTAINED,Card Obtained,获得卡牌,Carte obtenue,カード入手,카드 획득,Carta obtenida
CUSTOM_RUN_COMPONENT_PLAYER_TAKES_DAMAGE,Player Takes Damage,玩家受到伤害,Le joueur subit des dégâts,プレイヤーがダメージを受ける,플레이어 피해,El jugador recibe daño
CUSTOM_RUN_COMPONENT_PLAYER_GAINS_BLOCK,Player Gains Block,玩家获得格挡,Le joueur gagne du blocage,プレイヤーがブロックを得る,플레이어 방어도 획득,El jugador gana bloqueo
CUSTOM_RUN_COMPONENT_POWER_RECEIVED,Power Received,获得能力,Pouvoir reçu,パワー獲得,파워 획득,Poder recibido
CUSTOM_RUN_COMPONENT_POTION_USED,Potion Used,使用药水,Potion utilisée,ポーション使用,포션 사용,Poción usada
CUSTOM_RUN_COMPONENT_POTION_OBTAINED,Potion Obtained,获得药水,Potion obtenue,ポーション入手,포션 획득,Poción obtenida
CUSTOM_RUN_COMPONENT_RELIC_OBTAINED,Relic Obtained,获得遗物,Relique obtenue,レリック入手,유물 획득,Reliquia obtenida
CUSTOM_RUN_COMPONENT_MONSTER_SPAWNED,Monster Spawned,怪物生成,Monstre apparu,モンスター出現,몬스터 생성,Monstruo generado
CUSTOM_RUN_COMPONENT_MONSTER_MOVE_STARTED,Monster Move Started,怪物行动开始,Action du monstre commencée,モンスター行動開始,몬스터 행동 시작,Movimiento del monstruo iniciado
CUSTOM_RUN_COMPONENT_ENERGY_SPENT,Energy Spent,消耗能量,Énergie dépensée,エナジー消費,에너지 소모,Energía gastada
CUSTOM_RUN_COMPONENT_ALWAYS,Always,始终,Toujours,常に,항상,Siempre
CUSTOM_RUN_COMPONENT_TRIGGERING_PLAYER_IS,Triggering Player Is,触发玩家是,Le joueur déclencheur est,トリガーしたプレイヤー,트리거한 플레이어,El jugador activador es
CUSTOM_RUN_COMPONENT_PLAYER_HAS_ROLE,Player Has Role,玩家拥有职责,Le joueur a le rôle,プレイヤーのロール,플레이어 역할,El jugador tiene el rol
CUSTOM_RUN_COMPONENT_CARD_MATCHES,Card Matches,卡牌匹配,La carte correspond,カードが一致,카드 일치,La carta coincide
CUSTOM_RUN_COMPONENT_RELIC_MATCHES,Relic Matches,遗物匹配,La relique correspond,レリックが一致,유물 일치,La reliquia coincide
CUSTOM_RUN_COMPONENT_POTION_MATCHES,Potion Matches,药水匹配,La potion correspond,ポーションが一致,포션 일치,La poción coincide
CUSTOM_RUN_COMPONENT_POWER_MATCHES,Power Matches,能力匹配,Le pouvoir correspond,パワーが一致,파워 일치,El poder coincide
CUSTOM_RUN_COMPONENT_MONSTER_MATCHES,Monster Matches,怪物匹配,Le monstre correspond,モンスターが一致,몬스터 일치,El monstruo coincide
CUSTOM_RUN_COMPONENT_PLAYER_HAS_CARD,Player Has Card,玩家拥有卡牌,Le joueur possède la carte,プレイヤーがカードを所持,플레이어가 카드 보유,El jugador tiene la carta
CUSTOM_RUN_COMPONENT_PLAYER_HAS_RELIC,Player Has Relic,玩家拥有遗物,Le joueur possède la relique,プレイヤーがレリックを所持,플레이어가 유물 보유,El jugador tiene la reliquia
CUSTOM_RUN_COMPONENT_PLAYER_HAS_POWER,Player Has Power,玩家拥有能力,Le joueur possède le pouvoir,プレイヤーがパワーを所持,플레이어가 파워 보유,El jugador tiene el poder
CUSTOM_RUN_COMPONENT_PLAYER_HAS_CARDS_MATCHING,Player Has Matching Cards,玩家拥有匹配卡牌,Le joueur possède des cartes correspondantes,プレイヤーが一致するカードを所持,플레이어가 일치하는 카드 보유,El jugador tiene cartas coincidentes
CUSTOM_RUN_COMPONENT_PLAYER_HAS_RELICS_MATCHING,Player Has Matching Relics,玩家拥有匹配遗物,Le joueur possède des reliques correspondantes,プレイヤーが一致するレリックを所持,플레이어가 일치하는 유물 보유,El jugador tiene reliquias coincidentes
CUSTOM_RUN_COMPONENT_PLAYER_HAS_POTIONS_MATCHING,Player Has Matching Potions,玩家拥有匹配药水,Le joueur possède des potions correspondantes,プレイヤーが一致するポーションを所持,플레이어가 일치하는 포션 보유,El jugador tiene pociones coincidentes
CUSTOM_RUN_COMPONENT_PLAYER_HAS_POWERS_MATCHING,Player Has Matching Powers,玩家拥有匹配能力,Le joueur possède des pouvoirs correspondants,プレイヤーが一致するパワーを所持,플레이어가 일치하는 파워 보유,El jugador tiene poderes coincidentes
CUSTOM_RUN_COMPONENT_NUMERIC_COMPARISON,Numeric Comparison,数值比较,Comparaison numérique,数値比較,숫자 비교,Comparación numérica
CUSTOM_RUN_COMPONENT_VARIABLE_COMPARISON,Variable Comparison,变量比较,Comparaison de variable,変数比較,변수 비교,Comparación de variable
CUSTOM_RUN_COMPONENT_CHANCE,Chance,概率,Chance,確率,확률,Probabilidad
CUSTOM_RUN_COMPONENT_GAIN_POWER,Gain Power,获得能力,Gagner un pouvoir,パワーを得る,파워 획득,Ganar poder
CUSTOM_RUN_COMPONENT_GAIN_ENERGY,Gain Energy,获得能量,Gagner de l'énergie,エナジーを得る,에너지 획득,Ganar energía
CUSTOM_RUN_COMPONENT_DRAW_CARDS,Draw Cards,抽牌,Piocher des cartes,カードを引く,카드 뽑기,Robar cartas
CUSTOM_RUN_COMPONENT_GAIN_GOLD,Gain Gold,获得金币,Gagner de l'or,ゴールドを得る,골드 획득,Ganar oro
CUSTOM_RUN_COMPONENT_HEAL,Heal,治疗,Soigner,回復,회복,Curar
CUSTOM_RUN_COMPONENT_LOSE_HP,Lose HP,失去生命,Perdre des PV,HPを失う,체력 잃기,Perder PV
CUSTOM_RUN_COMPONENT_OBTAIN_CARD,Obtain Card,获得卡牌,Obtenir une carte,カードを入手,카드 획득,Obtener carta
CUSTOM_RUN_COMPONENT_OBTAIN_RELIC,Obtain Relic,获得遗物,Obtenir une relique,レリックを入手,유물 획득,Obtener reliquia
CUSTOM_RUN_COMPONENT_OBTAIN_POTION,Obtain Potion,获得药水,Obtenir une potion,ポーションを入手,포션 획득,Obtener poción
CUSTOM_RUN_COMPONENT_OBTAIN_CARDS,Obtain Cards From Matcher,从匹配器获得卡牌,Obtenir des cartes correspondantes,一致するカードを入手,일치 항목에서 카드 획득,Obtener cartas coincidentes
CUSTOM_RUN_COMPONENT_OBTAIN_RELICS,Obtain Relics From Matcher,从匹配器获得遗物,Obtenir des reliques correspondantes,一致するレリックを入手,일치 항목에서 유물 획득,Obtener reliquias coincidentes
CUSTOM_RUN_COMPONENT_OBTAIN_POTIONS,Obtain Potions From Matcher,从匹配器获得药水,Obtenir des potions correspondantes,一致するポーションを入手,일치 항목에서 포션 획득,Obtener pociones coincidentes
CUSTOM_RUN_COMPONENT_GAIN_POWERS,Gain Powers From Matcher,从匹配器获得能力,Gagner des pouvoirs correspondants,一致するパワーを得る,일치 항목에서 파워 획득,Ganar poderes coincidentes
CUSTOM_RUN_COMPONENT_SPAWN_MONSTERS,Spawn Monsters From Matcher,从匹配器生成怪物,Invoquer des monstres correspondants,一致するモンスターを出現,일치 항목에서 몬스터 생성,Generar monstruos coincidentes
CUSTOM_RUN_COMPONENT_ADD_CARD_TO_HAND,Add Card To Hand,将卡牌加入手牌,Ajouter une carte à la main,カードを手札に加える,카드를 손패에 추가,Añadir carta a la mano
CUSTOM_RUN_COMPONENT_ADD_CARD_TO_DRAW_PILE,Add Card To Draw Pile,将卡牌加入抽牌堆,Ajouter une carte à la pioche,カードを山札に加える,카드를 뽑기 더미에 추가,Añadir carta a la pila de robo
CUSTOM_RUN_COMPONENT_ADD_CARD_TO_DISCARD_PILE,Add Card To Discard Pile,将卡牌加入弃牌堆,Ajouter une carte à la défausse,カードを捨て札に加える,카드를 버린 카드 더미에 추가,Añadir carta a la pila de descarte
CUSTOM_RUN_COMPONENT_SET_VARIABLE,Set Variable,设置变量,Définir la variable,変数を設定,변수 설정,Establecer variable
CUSTOM_RUN_COMPONENT_ADD_TO_VARIABLE,Add To Variable,变量加值,Ajouter à la variable,変数に加算,변수에 더하기,Sumar a variable
CUSTOM_RUN_COMPONENT_SUBTRACT_FROM_VARIABLE,Subtract From Variable,变量减值,Soustraire de la variable,変数から減算,변수에서 빼기,Restar de variable
CUSTOM_RUN_COMPONENT_TRIGGERING_PLAYER,Triggering Player,触发玩家,Joueur déclencheur,トリガーしたプレイヤー,트리거한 플레이어,Jugador activador
CUSTOM_RUN_COMPONENT_HOST,Host,房主,Hôte,ホスト,호스트,Anfitrión
CUSTOM_RUN_COMPONENT_ALL_PLAYERS,All Players,所有玩家,Tous les joueurs,すべてのプレイヤー,모든 플레이어,Todos los jugadores
CUSTOM_RUN_COMPONENT_ALL_OTHER_PLAYERS,All Other Players,所有其他玩家,Tous les autres joueurs,他の全プレイヤー,다른 모든 플레이어,Todos los demás jugadores
CUSTOM_RUN_COMPONENT_RANDOM_PLAYER,Random Player,随机玩家,Joueur aléatoire,ランダムなプレイヤー,무작위 플레이어,Jugador aleatorio
CUSTOM_RUN_COMPONENT_SPECIFIC_PLAYER_SLOT,Specific Player Slot,指定玩家栏位,Emplacement de joueur précis,特定のプレイヤースロット,특정 플레이어 슬롯,Ranura de jugador específica
CUSTOM_RUN_COMPONENT_PLAYERS_WITH_ROLE,Players With Role,拥有职责的玩家,Joueurs avec le rôle,ロールを持つプレイヤー,역할이 있는 플레이어,Jugadores con rol
CUSTOM_RUN_COMPONENT_RANDOM_PLAYER_WITH_ROLE,Random Player With Role,拥有职责的随机玩家,Joueur aléatoire avec le rôle,ロールを持つランダムなプレイヤー,역할이 있는 무작위 플레이어,Jugador aleatorio con rol
CUSTOM_RUN_PARAMETER_TARGET,Target,目标,Cible,対象,대상,Objetivo
CUSTOM_RUN_PARAMETER_AMOUNT,Amount,数量,Quantité,量,수량,Cantidad
CUSTOM_RUN_PARAMETER_CARD,Card,卡牌,Carte,カード,카드,Carta
CUSTOM_RUN_PARAMETER_RELIC,Relic,遗物,Relique,レリック,유물,Reliquia
CUSTOM_RUN_PARAMETER_POTION,Potion,药水,Potion,ポーション,포션,Poción
CUSTOM_RUN_PARAMETER_POWER,Power,能力,Pouvoir,パワー,파워,Poder
CUSTOM_RUN_PARAMETER_VARIABLE,Variable,变量,Variable,変数,변수,Variable
CUSTOM_RUN_PARAMETER_CARD_MATCHER,Card matcher,卡牌匹配器,Filtre de cartes,カード照合,카드 일치 조건,Filtro de cartas
CUSTOM_RUN_PARAMETER_RELIC_MATCHER,Relic matcher,遗物匹配器,Filtre de reliques,レリック照合,유물 일치 조건,Filtro de reliquias
